,Savings,CreditScore,Debt
1870,,,
1871,,,
1872,,,
1873,0,,6000
1874,,,
1875,,,
1876,,,
1877,,,
1878,,,
1879,7,692,1393
1880,,,
1881,,,
1882,,,
1883,0,,0
1884,,,
1885,0,,
1886,0,,
1887,,,
1888,0,,
1889,,,
1890,,,
1891,,,
1892,,386,
1893,0,,
1894,,,
1895,0,,236
1896,,,
1897,0,,
1898,6,,23000
1899,0,,
1900,,,450
1901,,,
1902,,,
1903,,,
1904,,,
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,,,
1911,0,,92000
1912,0,,2476
1913,0,,
1914,,,
1915,,,
1916,0,400,9000
1917,,,
1918,,,
1919,,,
1920,0,,0
1921,,,
1922,1,,600
1923,0,,1200
1924,0,,200
1925,,,
1926,,,
1927,,,
1928,,,
1929,,,
1930,2,,
1931,0,,500
1932,,,
1933,0,,
1934,,,
1935,,,
1936,0,,
1937,,,
1938,,540,
1939,,,
1940,,,
1941,,,
1942,0,,
1943,,,
1944,0,628,2000
1945,,,
1946,,,
1947,,,
1948,,,
1949,2,,
1950,,,
1951,2,687,
1952,,,
1953,,,
1954,,,
1955,0,,
1956,,,
1957,,571,20000
1958,,,
1959,1,,
1960,,,
1961,0,658,2300
1962,0,600,
1963,,,
1964,0,517,
1965,0,725,50000
1966,,,15000
1967,2,,45
1968,0,,
1969,0,740,80000
1970,,,
1971,,475,
1972,,475,
1973,,,
1974,,,
1975,,,
1976,1,710,20000
1977,2,,
1978,,,
1979,0,521,
1980,,,
1981,0,,
1982,,,
1983,8,,
1984,,,
1985,,,
1986,0,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,0,,500
1994,,,
1995,,,
1996,0,,
